Name	B_lymphocyte_centroblast	H9_differentiated_mesenchymal_cell	H9_differentiated_forebrain_cell	Prostate_epithelial_cell	Fibroblast_cell	Red_blood_cell	CD4_T_lymphocyte	Dendritic_cell	Macrophage	B_lymphocyte_CD77	Dopaminergic_neuron	Embryonic_stem_cell	Corona_radiata	Myotube	Biliosphere	CD8_T_lymphocyte	Keratinocyte_epithelial_cell	Islet_beta_cell	Smooth_muscle_cell	Mesangial_cell	iPSC_cardiomyocyte	Cumulus_oophorus	H9_differentiated_midbrain_cell	CD3_T_lymphocyte	Myoblast	Mammary_epithelial_cell	Neural_stem_cell	Retinal_pigment_epithelial_cell	Colonic_epithelial_cell	Chondrocyte	Cortical_neuron	B_lymphocyte_centrocyte	Bronchial_epithelial_cell	Monocyte	Islet_alpha_cell	Melanocyte	CD14_monocyte	Osteoblast	Plasma_cell	iPSC_neuron	Astrocyte	Valve_interstitial_cell	B_lymphocyte_pregerminal_center	Endothelial_cell	B_lymphocyte_memory	Platelet	Renal_epithelial_cell	B_lymphocyte_naive
hsa-miR-941-2	108.2771896	53.90321608	687.7832201	35.89761999	135.7670172	23.98996481	78.11340977	97.74334734	98.46406615	52.80281322	326.8626632	138.6342855	11.93110977	60.21037956	15.36669148	45.25945273	107.2729359	9.346326518	119.8104286	148.5001485	216.034047	9.065854366	413.8725036	38.63788573	94.3235535	119.6438033	603.9744881	94.78994923	15.10619656	138.5681293	169.3125909	105.0861707	119.500488	108.9603897	91.86682274	105.4497328	79.71303308	124.0463934	49.6703133	242.7048035	58.68315011	82.77773891	48.62394243	149.265815	49.34311972	21.54187583	39.45081108	25.87138043	
hsa-let-7b-5p	3224.25409	4375.449136	59.40433934	92490.2179	24179.69676	34146.58896	23260.782	35033.17893	13121.17687	7969.710562	2596.742269	2985.344952	22024.82864	14240.82178	51370.87982	712.7060106	86073.4802	33868.26867	38549.53368	20471.80619	1469.031519	19854.22106	2.82912901	22525.88738	31375.09507	92929.05122	49.80545593	6877.490594	32312.15445	47390.30023	29639.66297	2784.783522	72417.2957	17555.44161	31513.28365	3598.431784	35421.57325	61754.42949	5426.481728	20.04404291	56316.26306	11656.25967	7468.637557	25258.19093	12089.06433	75021.21713	72199.83726	18763.21866	
hsa-miR-6848-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4677-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4776-2-49-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-8073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-16-2-34-5p	24205.96728	2754.670314	14677.8533	3805.147719	19018.01871	67174.36409	14212.37135	5811.643673	3101.323697	21321.45496	6537.253264	1671.406678	17729.62912	11481.62641	6893.166019	8068.096054	6709.515055	4087.118718	16754.007	15762.23005	20933.69915	21785.24804	14648.02256	22873.62836	16239.66801	6460.765379	14437.25844	3483.310987	10725.39956	23025.40416	17498.95425	24301.17697	5616.522934	23131.64979	3348.693861	9474.608359	62982.95832	15423.10157	34235.26344	3936.90426	9017.644067	4033.147959	27190.50861	13458.3247	7031.39456	8413.074426	7936.244622	24526.06865	
hsa-miR-4679-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4646-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-654-5p	0	0	55.69520687	0	0	0	0	1.209162927	0	14.9891457	0	0	0	0	7.985565118	0	0	25.44904008	1.790217386	0	0	0	41.21928082	0	0	0	71.13796766	2.129251967	0	0	0	0	0	0	17.78067537	0	2.415546457	0	0	170.8405847	19.56105004	6.358102768	0	2.797058864	0	113.2579911	0	0	
hsa-miR-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-20a-5p	240.6159769	376.3008096	3444.180377	215.3857199	422.3225122	171.5797536	180.0639625	431.4595351	32.41273767	668.6224202	236.067479	545.336284	202.8288661	292.6042729	206.8103993	1038.856979	569.321905	5.459591994	237.2108892	190.9287624	172.8272376	262.9097766	3178.630973	160.9911906	481.241978	410.2073256	4170.851668	2554.507523	196.3805553	300.2309469	258.9486684	262.7154266	438.1684559	724.2661197	44.45168842	161.6393531	316.4365859	103.3719945	86.92304827	14172.39372	136.9273503	217.4946974	213.9453467	446.8798548	74.01467958	8805.670457	596.5739233	232.8424239	
hsa-miR-8071-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-127-3p	12.03079885	1044.044689	353.3430675	305.1297699	338.9288982	1.607572715	0	11.07107325	0	70.87929387	18.15903684	95.27956397	256.5188601	702.8587833	55.95051591	204.8037745	477.4013923	288.5237604	229.9368203	190.9287624	0	353.5683203	265.2567482	32.19823811	950.8981936	256.3795785	342.2662102	25.61756463	90.63717937	254.0415704	19.91912834	13.13577133	418.2517079	134.5981284	53.34202611	63.58858146	0	289.4415845	0	244.4177046	312.9768006	850.3339206	0	368.9533318	12.33577993	242.553348	194.5881333	0	
hsa-miR-1287-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-7-2-24-5p	782.0019249	100.3251896	971.1355875	17.94880999	57.89639139	4.43297334	5029.029459	130.6246145	132.034507	232.9331287	6682.525559	340.410888	0	3.734185334	64.11146589	774.8174144	4.121407955	49339.40776	8.85882671	21.21430693	151.2238329	0	1046.407459	38.63788573	5.851921808	85.4598595	942.9219442	642.4193446	105.7433759	46.18937644	1474.015497	1497.477932	0	44.86604282	382684.5856	30.54696646	55.55756851	0	248.3515665	48006.11848	0	36.76831796	505.6890013	20.34686794	74.01467958	29.96374665	62.62425901	245.7781141	
hsa-miR-4421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-519b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6512-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1304-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3194-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-148b-5p	0	0	0	0	6.137950324	4.821056721	9.557142208	19.09972534	8.44897768	0	0	1.461970324	0	2.497200239	0	0	4.121407955	11.16433883	28.13643144	21.21430693	21.6034047	0	0	0	0	0	0	2.173665011	0	23.09468822	0	0	0	25.63773875	2.963445895	3.962284216	0	20.67439889	12.41757832	0	19.56105004	16.06004215	0	27.34946621	0	1.668898312	3.146789837	6.467845108	
hsa-miR-410-3p	48.12319538	150.9040755	106.7582051	17.94880999	81.19163517	1.315298027	0	2.349414044	1.513183618	25.20863778	18.15903684	10.67968614	0	8.372277926	25.92741055	4.328867237	61.93405841	35.69212658	79.49201683	84.85722771	0	45.32927183	103.9834364	6.439647622	26.19948976	68.3678876	71.13796766	8.96065885	15.10619656	69.28406467	19.91912834	52.54308533	79.66699197	0	14.81722947	5.603516077	0	41.34879778	37.25273497	0	58.68315011	64.24016859	29.17436546	117.6988947	37.00733979	17.44769668	56.89791533	12.93569022	
hsa-miR-554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-550b-2-1-46-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-203a-3p	0	18.02362658	0	7089.779948	1.555159102	0	0	0	0	1.865750715	0	0	17.89666466	0	1783.05965	0	15887.86664	42.11499191	0	0	129.6204282	9.065854366	0	0	0	1281.897893	0	32.76191689	2009.124143	0	0	0	3724.431875	0	5.92689179	0	0	62.02319668	0	0	0	0	0	0	0	2.470717349	4.995217497	6.467845108	
hsa-miR-887-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-143-3p	36.09239654	823.181573	0	53.84642998	11967.274	1.951471843	0	228.7006269	28.49170736	74.67445459	18.15903684	396.8689282	5.965554886	471.3318638	1436.853213	31.07464456	125.1517585	99.3520954	5934.831697	21808.30752	24044.58943	0	0	19.31894287	60.69332849	17.0919719	0	5267.169389	679.7788453	762.1247113	0	26.27154266	59.75024398	6.409434688	2.963445895	174.1445023	16.9088252	25181.41785	37.25273497	311.7253557	2171.276554	4322.820829	0	192.4352739	12.33577993	36.70584794	167.106676	12.93569022	
hsa-miR-6783-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-887-3p	0	0	39.38245846	0	27.28468938	0	0	0	0	3.723071288	18.15903684	2.570385211	0	3.196235384	0	0	0	0	9.779805444	21.21430693	1144.980449	0	206.5073661	0	5.431149914	0	35.56898383	2.584937897	0	46.18937644	49.79782085	13.13577133	0	0	0	24.94149367	0	0	0	0	19.56105004	30.61635984	0	277.4031014	0	0	3.146789837	0	
hsa-miR-7154-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-664a-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3614-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4781-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4783-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3156-3-32-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4477a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-5000-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-5189-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-941-5	108.2771896	53.90321608	687.7832201	35.89761999	135.7670172	23.98996481	78.11340977	97.74334734	98.46406615	52.80281322	326.8626632	138.6342855	11.93110977	60.21037956	15.36669148	45.25945273	107.2729359	9.346326518	119.8104286	148.5001485	216.034047	9.065854366	413.8725036	38.63788573	94.3235535	119.6438033	603.9744881	94.78994923	15.10619656	138.5681293	169.3125909	105.0861707	119.500488	108.9603897	91.86682274	105.4497328	79.71303308	124.0463934	49.6703133	242.7048035	58.68315011	82.77773891	48.62394243	149.265815	49.34311972	21.54187583	39.45081108	25.87138043	
hsa-miR-7161-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-548x-1-28-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-5011-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-98-3p	0	0	0	0	2.379390388	0	0	0	0	0	0	0	23.86221954	0	0	0	7.138487977	6.500746901	1.911059128	0	0	36.26341746	0	0	0	17.0919719	0	0	0	23.09468822	9.959564169	0	0	0	2.963445895	0	0	82.69759557	0	0	58.68315011	1.773762776	9.724788486	5.766468671	24.67155986	1.697987948	0	0	
hsa-miR-579-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4793-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3200-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-5688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6733-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4799-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-548v	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-942-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-551b-3p	0	0	2.495020017	0	1.365416394	0	0	26.5057595	11.67950403	0	145.2722948	3.03313803	0	0	0	0	0	36.18810771	2.056419766	169.7144554	6783.469075	0	120.06973	0	0	0	0	0	0	0	69.71694919	0	0	0	77.04959327	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3682-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3199-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-133a-2-38-3p	0	0	0	0	0	0	0	0	9.655527317	0	0	5.122927704	0	749.2400452	1.380020205	0	0	0	0	0	10801.70235	0	0	0	25.90206603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-200b-3p	0	0	0	3948.738199	0	0	0	0	0	0	0	0	0	0	1290.000133	0	2711.457705	417.2912185	0	0	0	0	0	0	0	153.8277471	0	74.04616841	4063.566875	0	0	0	3505.347647	0	349.6866156	0	0	0	0	0	0	0	0	0	24.67155986	0	3756.016952	12.93569022	
hsa-miR-519a-1-47-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6813-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-502-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-431-5p	0	92.70788876	0	0	2.52633586	0	0	0	1.513183618	0	0	1.919557794	0	0	0	1.723566916	0	0	1.790217386	21.21430693	0	0	0	6.439647622	0	0	0	0	15.10619656	23.09468822	0	0	0	0	0	0	0	0	0	0	0	0	0	5.787835607	0	38.01851185	0	0	
hsa-miR-144-3p	0	0	0	0	1.656308344	6370.743381	1.822360964	3.840898887	0	0	0	1.667281778	35.79332932	0	2.528488078	0	0	0	2.71346215	0	0	18.13170873	0	0	0	0	0	0	15.10619656	0	0	0	0	153.8264325	0	0	41.06428977	0	0	0	0	0	0	0	0	2.59707759	0	0	
hsa-miR-7110-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1225-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
