name	Astrocyte	Cortical_neuron	Dopaminergic_neuron	H9_differentiated_forebrain	H9_differentiated_mesenchymal	H9_differentiated_midbrain	iPSC_neuron	Neural_stem	Embryonic_stem	iPSC_cardiomyocyte	Endothelial	Biliosphere	Bronchial_epithelial	Colonic_epithelial	Islet_alpha	Islet_beta	Keratinocyte_epithelial	Mammary_epithelial	Prostate_epithelial	Renal_epithelial	Retinal_pigment_epithelial	Fibroblast	Smooth_muscle	Valve_interstitial	Mesangial	Myoblast	Myotube	Melanocyte	Corona_radiata	Cumulus_oophorus	Chondrocyte	Osteoblast	B_lymphocyte_CD77	B_lymphocyte_centroblast	B_lymphocyte_centrocyte	B_lymphocyte_memory	B_lymphocyte_naive	B_lymphocyte_pregerminal_center	Plasma	CD3_T_lymphocyte	CD4_T_lymphocyte	CD8_T_lymphocyte	Dendritic	Macrophage	Monocyte	CD14_monocyte	Platelet	Red_blood
hsa-miR-6859-1-40-3p	0	0	0	0.624916504	0.871459695	0	0.118468983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.403245651	0	0	0.115658694	0.372914198	0	0	0	0
hsa-miR-206	0	2	53	0	4.331687634	0	70.34527938	0	0	58.51407172	0.320274071	1.804411269	1.612196373	0	0	0	0	3	3	0.666666667	7.732123796	0.477393792	0.6	0	0	16144.72389	268586.4216	2.752381358	1.381859319	1.990359963	0	0	0	1.709185505	10.64434065	0	9.244354165	1.814351886	1.400218994	0	0	0	0	3.853446709	2.658873508	0	0	0
hsa-miR-6793-5p	0	0	0	0	0	0	0.166967877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.439712124	0	0	2.026727002	4.161661741	0	0	0	1.709185505	0	0	0	0	3.920613184	0	0.640545463	0	0	1.236905806	0	0	7.122206627	0
hsa-miR-3684	0	0	0	0.2761347	2.665207278	1.692073916	0	1.263313293	2.986199572	0	0.82066583	0	1.612196373	0	0	0	2.212112323	3	0	1	0.5	1.389990694	0.4	0	0	0	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0.393336409	0	0.322602008	0.479058054	0	0	0	0
hsa-miR-598-3p	44.89406784	291	502	88.05419439	88.74953614	189.8296981	281.2447226	152.3973811	210.46052	154.5137206	17.28401381	54.43955623	13.43496978	20.47337261	29.77998601	205.8000966	14.82246821	19	14	24.66666667	24.52859565	30.74084235	16.53748079	5.40834794	4	27.50433637	21.98719179	99.88512636	112.5754725	78.80016035	2.349435499	2	116.0617804	135.0256549	138.3764284	68.75032415	65.32676943	69.62575364	57.96906636	33.81822019	35.88763916	11.20037763	21.11790507	62.2111587	83.97608831	18.79929521	17.80592656	1.330278302
hsa-miR-8058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-146b-3p	24.97418343	8	15	12.43145937	7.791713937	11.36305211	9.511979916	16.53503982	8.231488365	0	1.801232616	12.66502676	3.224392746	20.33217694	6.875807167	6.76565278	5.628561012	6	16	228	24.59118973	26.39945859	46.79689538	3.656980852	21	2	22.00623172	1.088372984	2.947966548	2.985539944	53.78970747	18	0.778493701	0	0	4.221511132	3.697741666	3.628703773	1.680262793	1192.33783	615.9192978	1175.463659	1568.102658	416.3963505	14.5130179	2.685613602	94.29835499	2.374777356
hsa-miR-7153-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6823-5p	0	0	0	1.180397841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.473983274	5.428254444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4701-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.426506936	0
hsa-miR-4536-1-33-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.543968508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.206146038	0	0	1.400218994	0	0	0	0	0	1.772582339	0	0	0
hsa-miR-4723-3p	0	0	0	0	0	0	0.311032969	0	0	0	0	0	0	0	0	0	0	0	0	0	0.762213454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.094317983	9.665355561	0	0	0	0
hsa-miR-1252-3p	0	0	0	0	0	0	0	0	3.58259796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.248609465	0	0	0	0
hsa-miR-6873-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.289735365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-2355-3p	5.847130248	8	6	0	6.923868965	1.507987711	23.0493379	0	6.031679516	7.314258965	4.986811124	1.094555375	9.941877634	0	0	0.580839017	8.84359512	11	7	4	9.678360539	4.956692268	4.807982554	1.0353386	3	0.75	2.75	2.709956494	0	1.899889056	1.731162999	3	0	2.848642508	1.935334663	4.824584151	6.162902777	2.267939858	0	0	0.440375006	1.101925552	3.270344524	11.55893209	11.743358	18.69600238	10.1059835	0
hsa-miR-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-544b	0	0	0	0	0	0	2.212608785	0	0	0	0	0	0	0	0	0	0.638222954	3	0	0	0	0.118230244	0	1.360739883	0	0	0	1.088372984	0	0	0	0	0	5.412420765	4.193225103	5.42765717	0	2.494733844	0	0	0	0	0.385997935	4.38644651	0	0	0	0
hsa-miR-215-5p	461.4277701	1244	2866	651.4315358	1124.15153	789.4899855	783.7986508	921.715957	1103.264616	959.0822068	378.4826479	147324.7752	1116.311639	499208.4571	88300.4817	25159.5556	1331.014955	645	1226	15476.33333	665.8369082	519.607204	402.4715208	262.3687353	158	191.1330918	151.9504488	1172.157389	376.8790984	388.3011346	227.8952434	197	444.7146039	2813.034477	2913.968891	2301.929713	2538.499654	3311.64578	1653.378588	5816.453224	2421.841108	3326.479455	377.1636639	211.5312775	1714.530267	25.20345072	195.3995299	2225.866527
hsa-miR-4803	0	0	2	0	0	3.65341316	0	0	0.208984881	0	1.048915988	0	0	0	0	0	0	0	0	0	1.476485951	0.935297529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3180-3-40-5p	1.58566244	2	3	4.05311414	4.97545508	7.491863759	4.376628976	0	0.735130875	0	0	0.418290551	2.41829456	0	0	0	2.365688227	3	0	0.666666667	1.136655893	3.009360232	0.81819141	0	0	0.5	0.5	0	1.381859319	5.971079889	1.483853999	2	0	3.70323526	0	0	0	0	0	4.490386083	0	0.640687227	0.498769042	3.622254493	0	0	3.992836606	0
hsa-miR-449b-5p	1.288350733	4	73	1.213926189	0	1.31887536	0.844251717	0	2.267523177	0	0.320274071	3.149951257	0	19.90858992	0	0	0	2	0	134.3333333	61.44582376	0.363636364	1.134600934	0	2	0	0.75	1.18857741	0	0	2.720398998	0	0	0	0	0	0	0	0	0	1.784097226	0	1.699222263	4.092221031	0	0	0	0
hsa-miR-6871-5p	0	0	0	1.550713312	0	1.411933786	0.137340478	1.122381694	0.340464881	0	0	0	0	0	0	0	0	0	0	0	0	0.098736796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.393336409	0	0	0	0	0	1.7684467	0
hsa-miR-548j-3p	0	0	0	0	0	0	0.432831742	0	4.16714848	0	1.815161964	0	1.343496978	0	0	0	1.094096492	2	0	0	0	1.722735319	0	0	0	0	0	0	0	0	0	0	0	0	1.290223109	0	0	0	0	1.543570216	0	0	2.280895253	0	0	0	1.018970717	0
hsa-miR-378g	0	0	0	0	0	0	0	0	1.148641993	0	0	1.235695158	0	12.99000193	0	0	50.51078806	0	0	0	0	1.554882725	1.139101838	0	0	0	0	19.96810048	0	1.809418148	0	0	0.578031508	6.267013517	4.193225103	13.26760642	0	3.175115801	3.080481787	0	0	1.121202647	51.40308812	15.41286812	2.658873508	0	0	0
hsa-miR-432-3p	4.459675613	0	0	0	0	0	2.001222715	0.702122446	0	0	1.167350369	0	0	0	0	2.921565994	0	0	0	0	0.5	4.417534887	3.455392342	0.805774124	3	0	0.5	0	0	0	3.462325998	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.776715645	0
hsa-miR-550b-2-1-41-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-942-3p	0	0	0	0.661936668	0	1.674065554	0.166600703	0.954009966	4.205057211	0	0.929287451	0.132363122	0	0	0	0	4.016365548	0	0	1	0	0.54815966	0	0	2	0	1	0.570517157	0	0	0	0	15.72963616	58.11230716	50.96381279	0	0	9.752141389	0	0	1.289738993	0	0.25824994	3.23731395	0	4.544884557	0	0.557352868
hsa-miR-1233-2-36-3p	1.18924683	0	4	0	0	1.657328872	0.236937965	0	0.781076555	0	0	0.838698808	0	0	0	0.346356118	0.638222954	2	0	0	0	0.395898398	1.260010551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.345573098	2.310939466	0	0	1.796452823	0
hsa-miR-640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3943	0	7	15	0.483235724	29.52472255	6.501440201	4.133082677	0	23.88186025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5585-3p	0	0	0	2.070417451	8.28698601	4.329339194	1.763399819	2.668065295	6.005637939	0	0.27924843	0	0	9.460110104	0	0	0	0	0	0.666666667	5.561503251	1.04503982	0.250914846	0	0	0	0	0.570517157	9.580891281	9.951799815	0	0	0.312662585	3.70323526	5.160892434	0	0	0	0	4.350061518	0	0	0.394182577	7.063588559	0	0	0.359256762	0
hsa-miR-6751-3p	0	0	0	0	0	0	1.06662091	0	0	0	0	0	0	0	0	0	0	0	0	0	1.311803432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.061509677	0	0	0	0
hsa-miR-378c	420.0023389	522	1133	703.2702026	994.4088102	367.1717166	385.0646389	715.5577325	7251.175129	23855.45561	1322.217545	1705.257669	3837.027368	16056.20717	43.28115704	577.2838494	5609.242716	5183	2598	3211	762.3698843	509.7054674	584.0512198	44.67137801	395	272.8912173	630.1584695	9568.933424	106.0346718	99.69893996	82.84851495	267	1757.634643	3356.840331	3920.342915	3526.771014	1192.829832	4200.451411	1940.703526	1217.175278	847.8429986	3019.306299	64080.48839	11623.97878	455.9968067	4124.586028	487.3411348	426.5763921
hsa-miR-3668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-598-5p	0	0	3	2.467774635	1.130587363	4.362137703	5.386626259	0	0.646978955	10.97138845	0	0	0	0	0	0	0	0	0	0	2.908305674	0.234262334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.393336409	0	0	1.035872771	0	0	1.702151786	0
hsa-miR-454-3p	267.1841212	1052	1083	760.8166573	381.4605156	1411.478997	188.1989448	1235.652349	668.3085637	9600.879174	303.224645	135.4720159	293.4197399	47.4417462	267.2002414	66.27519446	362.0065482	299	121	258.6666667	216.7893955	257.0815753	197.131279	42.90306336	200	76.5	69.25	97.53589773	0	0	212.8093944	139	96.77768759	28.77128933	43.22247414	3.015365094	4.930322221	16.55596096	9.241445362	160.3909779	200.099751	32.73430414	245.2561702	52.94054788	0	164.0290154	1436.863282	325.8383004
hsa-miR-3690-2	0	0	0	1.270965182	1.382392872	0	0.55008098	0	2.223945367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.528365389	0	0	0	0	0	0	0	0	0	0	0	1.121202647	215.5189464	8.180248284	10.30313485	20.03880918	0	0
hsa-miR-325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7g-3p	9.811286349	23	14	0	6.059394553	0	0.974632016	0	2.833601569	52.11409513	12.00419877	9.735939019	10.61362612	7.48337068	7.353926209	4.362337418	10.30706885	13	13	11	5.082363185	12.43384527	12.67231074	5.139341952	7	3	3.5	1.813954973	1.105487455	3.076010852	9.397741995	8	63.46742223	0	2.25789044	0	0	1.133969929	0	14.17278108	12.14067933	12.3352186	20.0491197	48.55655943	0	0	0.702873574	0.215077729
hsa-miR-516a-1-49-5p	0	2	2	0	11.42231005	0.32208917	0	3.507540622	138.5281745	0	0.750335527	0	1.074797582	0	0	0	0.633368781	0	2	0	4.235183386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548f-1-46-3p	2.477597563	2	3	9.788322482	21.2286873	3.665527103	2.325357717	12.56615056	767.0951229	0	10.09882821	0	5.508337608	0	0	0	3.195793179	3	2	2.666666667	2.454501697	0.276459221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.625467048	0.85823376	0	0	0	0
hsa-miR-939-5p	1.882974148	0	2	0.902640911	2.480308363	5.704882377	1.055178959	2.246791827	1.68439887	12.79995319	1.626049569	0.45874886	0	0	1.343286831	0	1.055614635	2	0	0.666666667	0	1.282772431	0.525062745	0	0	0.5	0.5	0	0	0	1.978471999	0	1.691505034	0	0	0	0	0	0	3.087140432	2.683038783	0	1.545370617	3.553986791	0	0	39.95967871	0.605186563
hsa-miR-331-5p	9.613078544	37	47	31.95540325	27.5463492	32.69138267	17.5115013	32.51070709	48.66158863	103.3139079	20.4256078	13.42447748	15.18151585	14.54315434	7.171785622	5.62560923	25.74851909	26	24	16.33333333	16.00693098	16.2630256	11.72543931	7.064493117	10	3.75	3	5.31459033	0	1.357063611	10.51063249	6	85.25461672	10.82484153	13.54734264	4.221511132	1.232580555	7.030613559	7.28113877	13.47115825	17.72467287	1.637739801	8.628007016	34.16130443	0	11.67208988	5.582255462	7.882353217
hsa-miR-4446-3p	0	0	0	0	0	0	0.725956278	0	0	0	0	4.76278744	0	7.624566353	2.504433074	22.06310145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.272963762	5.806003989	7.236876226	12.94209583	12.24687523	8.401313966	45.32483453	15.58265254	13.37411951	0	0	68.46599284	0	1396.521951	0
hsa-miR-3651	1.58566244	0	0	3.402846048	8.177931432	3.804429658	1.645136206	2.721873437	5.893755882	5.485694224	1.411999784	1.334760262	3.761791537	5.930218274	0	0.35329662	3.402061933	3	2	1.333333333	3.189460744	2.654262577	4.149467489	0	0	0.5	1	0.618060253	1.289735365	4.975899907	1.607508499	3	0	0	0	0	0	0	0	10.24369325	0	0	0.536169452	1.727218539	0	0	1.808270412	0
hsa-miR-92a-1-5p	7.234584883	17	12	57.44216569	84.2215967	88.83519838	37.72243044	55.61291551	98.11601966	20.11421215	43.96802278	23.51234366	38.55836326	9.036523085	1.20668139	2.298018387	42.93199711	21	8	21	33.0787357	20.60960967	8.943553412	1.065461126	6	125.516628	26.74839995	24.99743224	235.2845801	226.3582103	9.150432995	4	320.3093115	658.3212836	584.1485124	402.8527766	109.0833791	499.4003567	229.3558713	145.2359249	7.703237047	8.682170759	10.65803382	44.299556	115.1070656	0	7.828052442	0
hsa-miR-3666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3178	0	0	0	0	16.65195955	18.1591669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.943563329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7157-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6507-3p	0	0	0	1.560593901	0	0	0.340303882	3.446759362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5197-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548o-5p	3.865052198	6	5	2.611388522	4.392489206	3.112667232	0	5.348581313	11.98234557	0	4.646217104	2.338137976	3.493092142	4.094674523	0	0.269388092	5.244797016	3	2	5	5.396792743	10.11843267	6.153684147	0	12	12.5	1.5	2.60097518	0	0	3.956943998	4	2.713052752	7.406470521	6.451115543	16.88604453	3.389596527	7.030613559	5.880919776	5.753307169	11.08687811	3.130389801	28.96334935	7.638846171	1.329436754	20.14210201	3.210712302	2.16803741
hsa-miR-875-3p	0	0	0	0.321528107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.946167784	0	0	0	0	0	0
hsa-miR-610	0	0	0	0	0	0	0.418807552	0	0	4.571411853	0	0	0	0	0	0	0	0	0	0	0	0.09495467	0	0	0	0	0	0	0	0	1.607508499	0	2.29539631	0	0	0	0	0	0	0	0	0	0	0	0	0	0.744742213	0.18489058
hsa-miR-8056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-92a-1-41-3p	14876.18949	48286	23402	483930.7009	142164.2818	377464.3234	26434.73473	504925.6803	208484.2763	1175.767129	24516.38901	18045.11306	48356.21801	20316.36303	6805.933485	3418.274336	57701.31281	42620	21749	24275.66667	11151.12536	24835.58234	14603.53403	6315.638076	9664	8872.49237	12897.32971	9474.477046	1589.598837	1420.483717	22931.23239	7827	35621.51385	15549.88486	20852.90844	3006.318999	11907.96074	11877.65462	3809.155752	156671.114	50875.83617	83863.53211	63612.44823	5610.014683	1788.978726	7757.911353	54651.37712	159940.1023
hsa-miR-767-5p	59.46234151	253	400	168.3246979	33.93878592	78.94441435	81.19788037	136.3874133	68.78637976	7.314258965	0	0.147682997	1.343496978	0	1.047308376	5.334127636	0	0	2	0	25.52484208	1.214361401	0	0	0	1	1.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6867-5p	0	0	0	0	0	0	0.115593145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.418614407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3664-5p	0	0	0	0	0	0	0	0	0.447824745	0	0	0	0	0	0	0	0	0	0	0	1.177259491	0	0.292733987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4686	0	0	0	0	0	0	0.143845592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-8061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4455	0	0	0	0	0	66.03732179	33.71466741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313.0293396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548am-5p	3.865052198	6	5	2.611388522	4.392489206	3.112667232	0	5.348581313	11.98234557	0	4.646217104	2.338137976	3.493092142	4.094674523	0	0.269388092	5.244797016	3	2	5	5.396792743	10.11843267	6.153684147	0	12	12.5	1.5	2.60097518	0	0	3.956943998	4	2.713052752	7.406470521	6.451115543	16.88604453	3.389596527	7.030613559	5.880919776	5.753307169	11.08687811	3.130389801	28.96334935	7.638846171	1.329436754	20.14210201	3.210712302	2.16803741
hsa-let-7a-1-34-5p	39312.04053	46950	22236	57.41023999	14240.64887	249.9931023	9022.733386	160.32778	6819.638228	15548.28599	38270.6865	34733.35242	36266.89481	9946.529199	40914.0352	52004.83549	51416.9486	66765	45808	26955.66667	24013.81432	51817.235	58560.18243	49648.87391	38085	259268.2621	140250.3838	43178.05866	274579.1317	248559.6805	57352.19361	47071	13265.82334	177521.1341	168780.8585	256935.6413	226925.7839	194140.8681	141108.7494	28676.30715	32268.16251	46254.96981	39956.72882	13220.49293	214219.013	16018.85879	80689.64315	12062.75391
hsa-miR-6127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6719-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5007-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
