Name	HCT116_cell	HepG2_cell	MDA-DB-231_cell	Hep3B_cell	SW480_cell	A375_cell	HAF1608_cell	THP1_cell	HK1_cell	LNCaP_cell	HEK293_cell	IMR90_cell	C8166_cell	A2058_cell	BicR_cell	MCF7_cell	H460_cell	RVH6849_cell	HELF977_cell	NP460_cell	Jurkat_cell	SH-SY5Y_cell	Mammary_Epithelial_cell	HeLa_cell	SUP-T1_cell	DLD2_cell	A549_cell	143B_cell	DLD1_cell	MCF10A_cell	HDMYZ_cell	H1264_cell	H520_cell	ZR75-1_cell	Beas-2B_cell	DKS8_cell	Huh7_cell	DKO1_cell	U2OS_cell	MIHA_cell	Fadu_cell	LCLB-cell
hsa-miR-155-5p	0	0	0	0	0	0	45.16245581	1441.244543	44.28541061	0	0	61.33238473	2213.421457	5.999952	0	0	0	0	42.67668146	28.34627813	210.865617	24.59016393	0	1.524123637	286.0513146	0	0	295.4442497	0	0	1789.539999	106.3029972	4.352441659	0	140.7410014	0	0	0	0	0	32.26083964	18197.27891	
hsa-miR-3123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3135a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-548aj-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6770-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1233-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6510-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-5009-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3189-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-548ae-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-589-5p	2.479691328	34.57096474	33.57206804	74.74400179	15.12950859	36.09512613	0	48.03388375	35.42832849	17.9408669	211.0308619	49.06590778	32.67423755	101.999184	13.60081605	33.87650799	34.29744241	12.3552483	7.112780244	42.5194172	23.29676103	65.57377049	38.70431037	64.10469295	25.27757394	15.20588772	117.3619962	73.86106242	25.83457246	108.4165973	22.70997161	32.80581717	32.79229401	25.71444391	96.75943844	20.44942143	28.82863491	27.81353972	83.30787815	29.78672703	5.376806607	11.09139308	
hsa-miR-609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4423-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-548l	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4435-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-301a-3p	0	21.03458644	11.19068935	56.05800135	3.025901719	25.78223295	6.451779401	3.564058645	0	0	11.81374759	21.46633465	26.00308683	107.999136	0	57.23846023	78.80952262	57.12214924	14.22556049	0	30.52739299	385.2459016	1.338367856	20.04267279	19.6098914	15.20588772	38.6579926	34.46849579	0	4.336663891	20.31241612	86.0175783	34.42975125	115.8433518	52.77787551	0	0	0	131.9041404	14.89336352	8.065209911	14.78852411	
hsa-miR-570-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-641	9.918765312	1.155101773	0	0	0	0	0	0	0	0	2.429717861	0	0	5.999952	0	1.214178997	6.859488483	0	7.112780244	0	3.025764165	0	0	1.463652181	11.84976869	0	1.449110164	0	18.80571514	0	5.863689456	16.40290859	0	0	0	11.25375031	0	18.31893613	0	0	0	7.394262053	
hsa-miR-633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6818-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4707-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-425-3p	37.19536992	30.42038429	11.19068935	11.21160027	9.077705156	15.46933977	32.258897	81.12887073	4.428541061	9.967148279	37.50631069	39.86605007	67.51851942	29.99976	10.20061204	11.40734311	54.87590786	27.79930868	106.6917037	42.5194172	27.69482586	57.37704918	15.6619308	46.28854978	24.47075418	26.61030351	40.23216807	14.77221248	54.11921009	8.673327782	175.8129284	61.37406407	36.09258972	11.60154818	140.7410014	63.541107	30.7505439	48.30373652	20.82696954	11.17002264	10.75361321	36.97131026	
hsa-miR-6083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6772-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4435-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6785-5p	0	0	0	3.73720009	0	479.5495328	0	0	0	0	4.772406086	0	0	101.999184	0	3.168611014	0	0	0	7.086569533	20.35159533	0	0	0	0	0	2.368385086	4.924070828	12.71978966	0	0	0	0	0	0	1535.924257	0	11.00627814	0	0	0	0	
hsa-miR-3120-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-940	0	1.194658014	0	0	0	0	0	0	4.428541061	0	0	0	0	0	0	0	0	0	7.112780244	0	2.643248466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-329-1-3p	0	0	0	0	0	5.15644659	6.451779401	1.436982718	0	0	0	0	0	35.999712	0	1.528042994	0	0	35.56390122	0	1.359560381	0	2.96760565	0	3.04796862	0	1.386941258	0	4.378448142	0	0	0	1.901104004	0	0	0	0	0	0	0	0	0	
hsa-miR-7848-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-324-5p	0	47.44409464	7.460459564	7.474400179	12.10360687	25.78223295	12.9035588	4.653183088	61.99957486	9.967148279	112.6490119	6.133238473	20.6779008	41.999664	6.800408024	19.90294966	13.71897697	7.566013497	49.7894617	28.34627813	30.29956813	32.78688525	2.96760565	42.78212948	42.82778733	45.61766316	25.78569585	49.24070828	4.975368667	0	49.75505492	16.40290859	18.04629486	12.76915602	87.96312586	11.25375031	0	6.350820451	131.9041404	11.17002264	0	40.66844129	
hsa-miR-4513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1199-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-541-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-8081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-655-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-30c-2-3p	0	0	7.460459564	0	0	0	0	0	0	0	0	0	2.662204277	0	0	0	9.700781643	0	0	0	0	0	0	20.3187611	0	0	4.368077551	0	0	0	0	16.40290859	9.993043298	0	0	0	9.609544969	0	0	0	8.065209911	0	
hsa-miR-484	47.11413523	79.38018266	7.460459564	3.73720009	30.25901719	108.2853784	219.3604996	48.14763399	61.99957486	19.93429656	133.0343392	15.33309618	5.857184286	107.999136	23.80142809	19.76470796	61.73539634	27.79930868	604.5863207	14.17313907	147.0468368	49.18032787	1.869474413	58.01738361	115.3953819	34.21324737	53.46738844	93.55734573	199.6182512	8.673327782	37.08522835	118.850364	47.87149309	54.14055819	167.1299391	253.5747172	3.843817988	180.7135259	97.19252451	11.17002264	32.26083964	36.97131026	
hsa-miR-429	52.07351789	4.292578253	14.92091913	82.21840197	196.6836117	0	0	0	385.2830723	151.5006538	0	0	0	0	115.6069364	81.24960184	20.57846545	80.30911397	0	0	0	0	2.96760565	2.5885646	0	247.0956754	5.042012838	0	965.1358942	0	0	0	4.982301957	100.4971472	0	1077.83212	0	1094.364432	0	29.78672703	18.81882312	0	
hsa-miR-5692a-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-181b-2-5p	32.23598726	194.4579675	358.1020591	1042.678825	290.486565	768.3105418	225.812279	245.13009	881.2796712	13.95400759	205.8705853	686.9227089	168.2790035	1217.990256	23.80142809	457.8522331	980.6909712	1652.225761	2525.036986	1544.872158	3901.724104	2221.311475	63.41516506	713.1940529	5743.408011	216.6839	1195.391158	270.8238955	184.3149011	312.2398002	1025.726734	1361.219066	605.5130565	1537.526957	615.741881	93.74322449	53.81345183	142.9660787	479.0202994	22.34004528	104.8477288	4118.603963	
hsa-miR-628-5p	0	0	0	3.73720009	0	0	0	1.834402818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.329150929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.446681759	0	0	
hsa-miR-6746-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3130-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-204-5p	0	0	0	0	0	36.09512613	0	0	0	0	0	0	0	5.999952	0	0	16.80224668	270.2313404	0	0	0	0	0	12.22526559	0	0	0	0	0	0	64.2334997	0	77.9207892	0	0	0	0	0	0	0	0	0	
hsa-miR-3116-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-2114-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-181b-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4740-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-24-1-3p	6117.398506	6992.629434	28152.04417	11312.50467	6384.652626	2433.84279	2793.620481	8013.337684	68376.67399	2095.094568	4685.877191	9181.457993	4554.022762	1115.991072	2431.145869	7456.479178	1870.830385	612.8003877	4353.021509	40024.94472	817.8248533	5803.278689	32238.44611	12087.95708	290.0180426	7500.304118	4801.444725	7420.574738	34086.14656	4527.477102	9631.975166	2898.132157	3272.817822	6535.170889	4626.86042	29246.44474	6786.260657	35839.05638	8441.864986	4832.896461	626.3979697	2133.244602	
hsa-miR-4536-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4756-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4423-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1298-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.089955961	8.196721311	1.338367856	1.555014627	0	0	0	0	2.842677071	0	0	0	0	6.178132521	0	0	0	1.714502745	0	0	0	0	
hsa-miR-452-5p	4.959382656	866.5137996	167.8603402	0	0	0	45.16245581	8.455394812	185.9987246	89.70433451	2.557209281	0	0	0	170.0102006	0	191.9431476	0	0	524.4061455	0	0	80.40525809	818.1187744	0	49.41913509	35.40493731	24.62035414	95.35632091	4.336663891	0	462.928325	49.78835918	0	246.2967524	198.482615	620.776605	98.35504065	0	3645.150721	8.065209911	0	
hsa-miR-1273f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-5586-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-653-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6802-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-335-3p	44.6344439	7.484451891	0	11.21160027	72.62164125	5.15644659	0	2.989044505	0	13.95400759	0	3.066619236	0	0	27.2016321	11.55747143	6.859488483	20.01779013	21.33834073	28.34627813	0	0	4.280027974	24.95453372	0	30.41177544	19.87522825	0	81.65184891	0	31.02772813	0	36.09258972	19.33591364	26.38893776	46.81748793	0	89.01936253	0	3.723340879	8.065209911	0	
hsa-miR-103a-1-3p	776.1433857	6598.562797	2185.914652	8012.556992	3038.005326	11091.51661	903.2491161	1392.960628	814.8515553	2435.971039	11222.284	4176.7354	2466.775619	15095.87923	2788.16729	5473.906252	12762.32857	6681.356131	2610.390349	1098.418278	14138.27051	21540.98361	2258.91668	5305.662367	8285.973825	3881.30284	8931.455657	6164.936676	2399.068418	732.8961976	4263.720814	8981.068047	5305.905821	5843.261901	4846.768235	3106.947343	2260.164977	2723.459306	5942.628641	13240.20017	819.9630076	7006.063295	
hsa-miR-5191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-18b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.359560381	0	1.211997205	3.744678741	0	0	1.412060393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-548aw	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6775-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3150b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-216a-3p	0	0	0	3.73720009	0	0	0	0	0	0	0	6.133238473	0	0	0	0	0	0	0	0	0	0	0	3.957715347	0	0	1.584984202	0	1.737588296	0	0	0	3.622079716	0	0	0	0	0	0	0	0	0	
hsa-miR-8088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-let-7e-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.336663891	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-8059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-6823-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-9-2-5p	24.79691328	0	0	0	9.077705156	0	0	237.585739	0	21.92772621	54.09346048	0	171.0787968	0	23.80142809	3.26632104	20.57846545	66.39149899	0	0	1.960825375	344.2622951	0	1.463652181	171.6430662	0	4.533587572	4.924070828	0	4.336663891	53.74160157	0	24.49259034	7.734365455	0	0	63.42299679	0	20.82696954	0	5.376806607	77.63975155	
hsa-miR-548h-5-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-3118-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-4758-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-133a-2-3p	0	0	0	0	18.15541031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.161694589	0	0	0	0	4.336663891	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-329-2-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-511-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-5580-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-1250-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
hsa-miR-302b-3p	2.479691328	1.355115545	3.730229782	0	3.025901719	10.31289318	12.9035588	0	4.428541061	0	7.112449644	22941.37851	0	11.999904	64.60387623	2.327786743	16.80224668	0	21.33834073	7.086569533	5.015603519	0	4.89940898	11.64594044	3.155573697	0	11.82821216	0	0	0	17.59106837	8.201454293	17.24907946	3.867182728	26.38893776	3.423712324	1.921908994	0	0	0	2.688403304	0	
